Railroad Code,Incident Number,Grade Crossing ID,Date,Time,State Name,Highway User,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars
WSS,12570,849877X,1995-12-13,11:57 AM,NORTH CAROLINA,Auto,52,Day,Clear,1,46
WTLR,CA19,017591G,1995-12-01,11:25 AM,TEXAS,Other,65,Day,Clear,1,9
SP,H3145,758197A,1995-12-01,07:15 PM,TEXAS,Pedestrian,50,Dark,Cloudy,2,93
SP,H3175,NOTASGN,1995-12-02,03:15 AM,TEXAS,Auto,60,Dark,Clear,3,15
SP,H3235,743267T,1995-12-08,06:50 PM,TEXAS,Truck,55,Dark,Rain,2,27
SP,H3265,755907A,1995-12-11,12:10 PM,TEXAS,Truck,67,Day,Clear,2,60
SP,H3365,743689L,1995-12-29,11:30 PM,TEXAS,Truck,59,Dark,Clear,6,107
SP,I1715,746943W,1995-12-06,12:10 PM,CALIFORNIA,Truck-trailer,78,Day,Clear,2,0
SP,I1785,661954V,1995-12-18,02:20 PM,CALIFORNIA,Auto,70,Day,Clear,1,25
SP,J1835,767913M,1995-12-15,05:45 PM,LOUISIANA,Auto,79,Dark,Clear,4,42
SP,J1865,762530T,1995-12-21,10:20 PM,TEXAS,Truck,40,Dark,Cloudy,2,26
SP,L1065,742909B,1995-12-13,09:16 AM,TEXAS,Auto,65,Day,Clear,4,37
SSW,W1815,789041L,1995-12-02,10:40 PM,ARKANSAS,Truck,50,Dark,Clear,1,17
TM,95024,793547G,1995-12-12,11:05 AM,TEXAS,Truck-trailer,68,Day,Clear,1,13
TSBY,TSB38295,000512S,1995-12-06,03:45 PM,MICHIGAN,Auto,25,Day,Clear,2,35
TSBY,TSB38395,548212V,1995-12-11,07:15 PM,MICHIGAN,Auto,20,Dark,Cloudy,2,6
UP,1295CB002,815693C,1995-12-02,09:00 AM,NEBRASKA,Auto,40,Day,Clear,1,1
UP,1295CB013,813746S,1995-12-05,06:00 PM,KANSAS,Auto,25,Dark,Clear,2,112
UP,1295CB015,817501P,1995-12-13,03:00 PM,NEBRASKA,Truck-trailer,35,Day,Cloudy,0,16
UP,1295CB029,442653W,1995-12-30,01:15 AM,MISSOURI,Auto,15,Dark,Clear,2,9
UP,1295CB031,818131S,1995-12-27,10:15 AM,NEBRASKA,Truck-trailer,22,Day,Cloudy,2,48
UP,1295CE010,817803S,1995-12-22,02:23 PM,NEBRASKA,Truck-trailer,45,Day,Clear,3,39
UP,1295FW005,794967P,1995-12-08,01:50 AM,TEXAS,Truck,45,Dark,Rain,2,0
UP,1295FW011,415295T,1995-12-18,03:45 PM,TEXAS,Truck-trailer,42,Day,Cloudy,4,96
UP,1295HO001,427905H,1995-12-02,01:10 PM,LOUISIANA,Truck-trailer,75,Day,Cloudy,7,99
UP,1295HO002,438009A,1995-12-04,06:00 PM,ARKANSAS,Truck,56,Dark,Cloudy,2,0
UP,1295HO005,426564N,1995-12-11,09:10 AM,TEXAS,Truck-trailer,41,Day,Cloudy,2,53
UP,1295HO006,438012H,1995-12-12,03:25 PM,ARKANSAS,Auto,65,Day,Cloudy,2,32
UP,1295HO007,432772D,1995-12-11,07:50 PM,LOUISIANA,Auto,36,Dark,Clear,1,12
UP,1295HO009,794569K,1995-12-14,07:38 AM,TEXAS,Auto,70,Day,Cloudy,2,31
UP,1295HO010,794347B,1995-12-17,04:00 AM,LOUISIANA,Auto,60,Dark,Rain,2,56
UP,1295HO011,426282X,1995-12-17,05:40 PM,ARKANSAS,Auto,49,Dark,Rain,2,0
UP,1295HO012,443694E,1995-12-15,11:15 PM,LOUISIANA,Auto,65,Dark,Rain,2,6
UP,1295HO013,425330G,1995-12-21,06:05 PM,ARKANSAS,Auto,35,Dark,Cloudy,2,89
UP,1295LA010,902486W,1995-12-30,09:00 AM,CALIFORNIA,Auto,60,Day,Clear,4,77
UP,1295LA014,865226B,1995-12-11,09:00 AM,CALIFORNIA,Truck,57,Day,Rain,4,30
UP,1295MX001,432686G,1995-12-02,01:27 AM,TEXAS,Auto,84,Dark,Clear,4,101
UP,1295MX002,432691D,1995-12-04,08:30 PM,TEXAS,Truck,78,Dark,Clear,2,33
UP,1295MX003,446802J,1995-12-04,01:30 AM,TEXAS,Auto,55,Dark,Clear,3,69
UP,1295MX004,432690W,1995-12-26,09:45 PM,TEXAS,Truck,50,Dark,Clear,2,10
UP,1295PC002,808386L,1995-12-04,02:05 AM,OREGON,Auto,40,Dark,Cloudy,3,96
UP,1295PC004,819294E,1995-12-04,09:46 AM,IDAHO,Truck-trailer,50,Day,Cloudy,2,66
UP,1295PR018,167450K,1995-12-29,06:00 AM,ILLINOIS,Auto,18,Dark,Clear,2,0
UP,1295SA016,416162E,1995-12-28,04:35 AM,TEXAS,Truck,45,Dark,Clear,4,115
UP,1295SA017,436004J,1995-12-29,01:01 AM,TEXAS,Auto,35,Dark,Clear,3,78
UP,1295SA018,435782U,1995-12-09,06:25 PM,TEXAS,Auto,40,Day,Clear,2,74
UP,1295SL006,437670C,1995-12-12,07:00 PM,ARKANSAS,Truck,48,Dark,Clear,2,52
UP,1295SL007,437964M,1995-12-15,12:32 AM,ARKANSAS,Truck,55,Dark,Fog,2,102
UP,1295SL008,542236N,1995-12-12,02:05 PM,ILLINOIS,Truck,35,Day,Cloudy,3,26
UP,1295SL009,437964M,1995-12-15,06:10 PM,ARKANSAS,Truck,50,Dark,Rain,2,66
UP,1295SL011,430961T,1995-12-21,01:10 AM,ILLINOIS,Auto,27,Dark,Cloudy,4,61
UP,1295SL013,437968P,1995-12-23,03:25 PM,ARKANSAS,Auto,38,Day,Cloudy,5,33
UP,1295SL016,371199P,1995-12-26,03:30 PM,MISSOURI,Auto,35,Day,Clear,2,5
UP,1295SL019,167030F,1995-12-27,02:35 PM,ILLINOIS,Truck,30,Day,Clear,1,13
UP,1295SL020,438612K,1995-12-29,05:02 PM,MISSOURI,Auto,30,Dusk,Cloudy,3,48
UP,1295ST004,447133E,1995-12-18,05:55 AM,LOUISIANA,Auto,60,Dawn,Rain,2,1
UP,1295VB001,596934G,1995-12-05,09:30 AM,OKLAHOMA,Auto,55,Day,Clear,1,12
UP,1295VB005,434137U,1995-12-03,02:30 PM,OKLAHOMA,Truck,50,Day,Clear,2,114
UP,1295VB006,595485R,1995-12-08,03:05 PM,OKLAHOMA,Truck,40,Day,Clear,1,1
UP,1295VB007,421962B,1995-12-11,05:24 PM,COLORADO,Auto,50,Dark,Cloudy,2,77
UP,1295VB008,429094T,1995-12-09,02:25 PM,KANSAS,Auto,25,Day,Clear,3,108
UP,1295VB011,795315Y,1995-12-17,02:00 AM,TEXAS,Auto,48,Dark,Rain,2,80
UP,1295VB015,814180A,1995-12-19,06:00 PM,KANSAS,Auto,30,Dark,Clear,2,5
UP,1295VB016,439421D,1995-12-03,12:50 AM,KANSAS,Auto,30,Dark,Clear,3,115
UP,1295VB017,439385K,1995-12-05,01:45 PM,KANSAS,Truck,45,Day,Clear,3,111
UP,1295VB019,595395S,1995-12-27,11:15 PM,OKLAHOMA,Auto,30,Dark,Clear,3,72
UP,1295VB022,434302C,1995-12-30,05:15 AM,ARKANSAS,Truck,34,Dark,Sleet,2,98
UP,1295WT017,811392T,1995-12-28,11:15 AM,IDAHO,Auto,30,Day,Cloudy,2,10
VCY,4,853870G,1995-12-28,01:00 PM,CALIFORNIA,Auto,75,Day,Clear,1,4
WC,G2784,281423Y,1995-12-05,06:15 PM,WISCONSIN,Auto,10,Dark,Clear,1,0
WC,G2785,694097P,1995-12-07,02:30 PM,MICHIGAN,Auto,18,Day,Clear,1,1
WC,G2786,692836D,1995-12-09,11:50 AM,WISCONSIN,Auto,9,Day,Clear,2,55
WC,G2787,186097N,1995-12-09,02:02 PM,WISCONSIN,Auto,0,Day,Clear,3,50
